Id;Nom;Ville;RNE;Code;Ponctuel
1;Lycee Turgot;Paris;0750647W;TUR;
2;Ecole Nationale de Commerce;Paris;0750707L;ENC;
3;SCRIB;Paris;075130SA;SCRI;
4;FORMACIF;Paris;075155ST;FORM;
5;ESTM;Paris;075166SN;ESTM;
6;Lycee Louis Armand;Paris;0751708Z;LAP;
7;ESIC;Paris;075187SW;ESIC;
8;RISE;Paris;075302SW;RISE;
9;ETS-IRIS;Paris;0753082T;ETS;
10;GRETA Paris Centre;Paris;0753107V;GT75;
11;Medicis Alternance;Paris;075318SK;MED;
12;AKOR Alternance;Paris;075322SV;AKOR;
13;BERCY Institute - Paris;Paris;075332SG;BERC;
14;Lycee BETH SEFER;Paris;0753372H;SEFE;x
15;IMCP Paris;Paris;0756241B;IMCP;x
16;EFFICOM;Paris;0753504B;EFFI;
17;ICOGES Paris;Paris;0753516P;ICOG;
18;Institut Point Com Paris 14;Paris;075371SW;IPC;
19;Le Rebours;Paris;0754042L;REB;
20;Lycee Prive Charles de Foucauld;Paris;0754086J;FOUC;
21;ITIC;Paris;0754440U;ITIC;x
22;CFA CERFAL;Paris;0754458N;CERF;x
23;INFOSUP;Paris;075456SK;INFUP;
24;CFA SACEF;Paris;0754679D;SACE;x
25;CFA IMC;Paris;0755197S;IMC;x
26;IFOPI;Paris;0755262M;IFOPI;
27;INEE;Paris;0755277D;INEE;
28;ESCEMI;Paris;075627SX;ESC;
29;OFI ONE;Paris;075878SE;OFI;
30;CEFP;Paris;0759309L;CEFP;
31;ISEFAC;Paris;0759330J;ISEF;
32;Lycee Leonard de Vinci;Melun;0770934X;MEL;
33;Lycee Saint-Aspais;Melun;0771238C;STAS;
34;GRETA MTE 77 Melun;Melun;0772065B;GTS77;
35;lycee Rene Descartes;Champs sur Marne;0772223Y;CHAM;x
36;UTEC;Emerainville;0772320D;UTEC;
37;POLYTHEIG;;0772349K;POLY;
38;COGEFI Formation;Champs sur Marne;077307SF;COGE;
39;Greta Tertiaire Nord;Torcy;0779302T;GTN77;
40;Lycee Jean Vilar;Plaisir;0780582J;PLAI;
41;Lycee Jules Ferry;Conflans;0781845G;CONF;
42;H3C Campus Poissy;Saint Germain (78);0781858W;H3C;x
43;Lycee Geoffroy Saint Hilaire;Etampes;0910622G;LAN;x
44;Lycee Parc de Vilgenis;Massy;0910727W;MAS;
45;Gustave Eiffel;Chilly Mazarin;0912140G;EIFF;
46;Lycee Parc des Loges;Evry;0911251R;EVRY;
47;GRETA Vilgenis;Massy;0911768C;GT91;
48;ITIS;Evry;0911864G;ITIS;x
49;CFA Faculté des métiers;Massy;0912263R;FDM;x
50;ISCIO Orsay;;0919303T;ISCIO;
51;Lycee Paul Lapie;Courbevoie;0920138A;COUR;
52;Lycee Saint Gabriel;Bagneux;0920894X;GAB;
53;Lycee Prive SUGER;Vaucresson;0920937U;SUG;
54;AFORP;Issy Les Moulineaux;0921274K;AFOR;x
55;Lycee Prive Montalembert;Courbevoie;0921484N;MONT;
56;EPSI;Levallois;0922467G;EPSI;x
57;GRETA lycee Richelieu;Rueil-Malmaison;092901SF;RICH;
58;Lycee Voillaume;Aulnay;0930834B;AULN;
59;Lycee Louise Michel;Bobigny;0931613Y;BOB;
60;Lycee Technologique ORT;Montreuil;0931796X;ORT;
61;ECTEI;Paris;0755560L;ECTE;
62;Lycee Louis Armand Nogent;Nogent;0940118T;LANOLD;
63;Lycee Maximilien Sorre;Cachan;0940580V;SOR;
64;Lycee Prive St Michel St Mande;Saint Mandé;0940882Y;STMI;
65;GRETA Tertiaire 94;;094306SY;GT94;
66;ITIN Cergy;Cergy;095000SH;ITIN;
67;Lycee René Cassin;Gonesse;0950646L;GONE;
68;Lycee JJ Rousseau;Montmorancy;0950648N;ROUS;
69;Lycee de l'Hautil;Jouy le moutier;0951824S;HAUT;
70;IFCP;St Ouen L'aumone;0952242W;IFCP;x
71;Centre JP THOMAS;Gonesse;095903SK;JPT;
72;INSTA Paris;Paris;0755931P;INST;x
73;CFA INSTA;Paris;0755432X;CINST;x
74;MEDIANET;Paris;0755472R;MEDIA;
75;UFA PARC DE VILGENIS;;0911708M;CGILG;
76;CFA EVE;Evry;0912119J;CEVE;x
77;Lycée René Auffray;Clichy;0922149L;LRA;
78;EDUCATEL Créteil;;094201SK;EDU94;
79;EDUCATEL PARIS;Paris;075201ST;EDU75;
80;CFI Ecole Connectée Montigny;St Quentin;0781809T;DLOR;
81;RISE St Quentin;St Quentin;078188SS;RISE78;
82;GRETA de la Defense;Reuil Malmaison;0929303M;GT92;
83;Lycee Jacques Prevert;Combs la Ville;0771997C;COMBS;x
